,name,popularity,rating,adjustedrating,ingredientsHashed,ingredients(hashed)
0,A Furlong Too Late,4720,3.673941998634088,3,"afdffda4e46a14d07503e44bca0f2b48 c238326dc0b45e4e186cb548b9ece5ec 56331d69d4a076151bd529ed6404f8d2 
",abc
1,A Night In Old Mandalay,3430,3.5352941200427703,3,"afdffda4e46a14d07503e44bca0f2b48 989d4e11b4ba2808a2bcdf97271c9a6f d6dd8769c2796fa05a8e240859bc511d c3e200cab562ee5bfa3c3ade2a3f5d8c 7d73dc0b6f7aeb20d99293fbdc5d6a6f 56331d69d4a076151bd529ed6404f8d2 
",abc
2,A. J.,12400000,7.093421685162235,9,"2d842e610a97352e25f1b20f549755eb 1b895b1423260c61b49d8868ac3077cc 
",abc
3,Abbey Cocktail,11800,4.071882007306125,4,"d7ad223a94b1cdb31734ad5fb25df4bd d65338d93defdf77c2bc409247425932 909cea0c97058cfe2e3ea8d675cb08e1 7b75d91d2856e9e74fe7cfbb857dcf2f 
",abc
4,Abilene,569000,5.755112266395071,7,"dc3848f85d5402c995be2314782511b0 9668fd1f20b8d5f5b540f4c9f5fd18f2 d6dd8769c2796fa05a8e240859bc511d 
",abc
5,Acapulco,1110000,6.045322978786658,7,"afdffda4e46a14d07503e44bca0f2b48 cbbf6d5cab373efb5f95205d1b85b1ed 58e12a94a9477dc279adaafff8604d1c f0dc7a91ef793fd0a59d9568168dec4d 0950210a45488b218b5ec9387827b69c ca8a196f97a48b2bb489f3e849a68418 
",abc
6,Adam,28200000,7.450249108319361,10,"dc3848f85d5402c995be2314782511b0 c3e200cab562ee5bfa3c3ade2a3f5d8c 3c497e915478d3ef451265d0a0b72a0b 
",abc
7,Adonis Cocktail,4400,3.6434526764861874,3,"74751ead02cd317f21763850048f9ca5 aacdcaab42f85782dbafce7a5d26b4b1 d65338d93defdf77c2bc409247425932 
",abc
8,Affair,10200000,7.008600171761918,9,"b826caf7ad2b07bd8b219760897b476f d6dd8769c2796fa05a8e240859bc511d c38cf33202b2c51ebc7699c589e08905 481c5a13509d5511286d01b9fc999e25 
",abc
9,Affinity,620000,5.7923916894982534,7,"6f6933a566a195007a6f1b5784dc3e5b 74751ead02cd317f21763850048f9ca5 992830de8ba8b14e8f55ad8fa0d01e53 d65338d93defdf77c2bc409247425932 
",abc
10,After Dinner Cocktail,72800,4.862131379313038,5,"d69d5873205810e716bf15acfa81a8b4 cbbf6d5cab373efb5f95205d1b85b1ed fc1cebf02dc2ee68655f3e7bf1b84230 fc1cebf02dc2ee68655f3e7bf1b84230 
",abc
11,After Supper Cocktail,5500,3.7403626894942437,3,"cbbf6d5cab373efb5f95205d1b85b1ed d69d5873205810e716bf15acfa81a8b4 c3e200cab562ee5bfa3c3ade2a3f5d8c 
",abc
12,Alabama Slammer,161000,5.20682587603185,6,"7e823dda4878f33df238e1080da87a0b bf19a4b5a2a24fe84d8f7052f75db565 65a2beb8c3fc4d253b1b83c04f8a6f78 c3e200cab562ee5bfa3c3ade2a3f5d8c 
",abc
13,Alaska Cocktail,9050,3.9566485792052033,4,"d65338d93defdf77c2bc409247425932 d7ad223a94b1cdb31734ad5fb25df4bd 20f4f374c86e6b5ffdea81a9e6dc96de 56331d69d4a076151bd529ed6404f8d2 
",abc
14,Alexander,30400000,7.482873583608754,10,"d7ad223a94b1cdb31734ad5fb25df4bd c1ecb10adbf7e5165a24144da26865df 5e089e4017e8f0c4c07bce7354c8ba43 5b5ea2ebaf974c74d74cb80576c5aabb 
",abc
15,Brandy Alexander,195000,5.290034611362518,6,"4c532b4eaea99aa1f9c4f0b1898d6fc5 c1ecb10adbf7e5165a24144da26865df 5e089e4017e8f0c4c07bce7354c8ba43 5b5ea2ebaf974c74d74cb80576c5aabb 
",abc
16,Alfie Cocktail,2250,3.3521825181113627,2,"5b9b6e67299d22c9d555110c752f7f6c cbbf6d5cab373efb5f95205d1b85b1ed 2f2c7d452dc57db7c574ae0229ab3df3 
",abc
17,Algonquin,987000,5.994317152669637,7,"5cbb3871ab023a2971fb397ba92d9672 992830de8ba8b14e8f55ad8fa0d01e53 2f2c7d452dc57db7c574ae0229ab3df3 
",abc
18,Allegheny,233000,5.367355921026019,6,"992830de8ba8b14e8f55ad8fa0d01e53 5b014b2f353c899a48edbb22cf78b17f 6e14ce26ee75d9dff71e46a386c52c97 c3e200cab562ee5bfa3c3ade2a3f5d8c 56331d69d4a076151bd529ed6404f8d2 
",abc
19,Allies Cocktail,3450,3.537819095073274,3,"992830de8ba8b14e8f55ad8fa0d01e53 d7ad223a94b1cdb31734ad5fb25df4bd 82d11c5565ff3bb1e0fe49b09203299f 
",abc
20,Almeria,694000,5.841359470454855,7,"dc3848f85d5402c995be2314782511b0 c0bae48e76229e908077947a58f97c92 0950210a45488b218b5ec9387827b69c 
",abc
21,Almond Joy,437000,5.640481436970422,7,"bf19a4b5a2a24fe84d8f7052f75db565 c1ecb10adbf7e5165a24144da26865df 5e089e4017e8f0c4c07bce7354c8ba43 
",abc
22,Amaretto And Cream,52700,4.721810615212546,5,"bf19a4b5a2a24fe84d8f7052f75db565 5e089e4017e8f0c4c07bce7354c8ba43 
",abc
23,Amaretto Mist,2270,3.3560258571931225,2,"bf19a4b5a2a24fe84d8f7052f75db565 fc1cebf02dc2ee68655f3e7bf1b84230 
",abc
24,Amaretto Rose,7240,3.859738566197147,3,"bf19a4b5a2a24fe84d8f7052f75db565 58e12a94a9477dc279adaafff8604d1c 481c5a13509d5511286d01b9fc999e25 
",abc
25,Amaretto Stinger,6550,3.816241299991783,3,"bf19a4b5a2a24fe84d8f7052f75db565 a5efdf4a6beb1afab2bdb7df5e270df9 
",abc
26,Amaretto Tea,7420,3.870403905279027,3,"485c264d44820de10d8cfa64441c143e bf19a4b5a2a24fe84d8f7052f75db565 2f2e4218a9d7d64cdd64141326aff0dc 
",abc
27,Angel Face,104000,5.017033339298781,5,"d69d5873205810e716bf15acfa81a8b4 543d6e99c54b2d4a4017a265bc45b0c6 d7ad223a94b1cdb31734ad5fb25df4bd 
",abc
