ingredient, vector
Light rum, 0
Applejack, 1
Gin, 2
Dark rum, 3
Sweet Vermouth, 4
Strawberry schnapps, 5
Scotch, 6
Apricot brandy, 7
Triple sec, 8
Southern Comfort, 9
Orange bitters, 10
Brandy, 11
Lemon vodka, 12
Blended whiskey, 13
Dry Vermouth, 14
Amaretto, 15
Tea, 16
Champagne, 17
Coffee liqueur, 18
Bourbon, 19
Tequila, 20
Vodka, 21
Añejo rum, 22
Bitters, 23
Sugar, 24
Kahlua, 25
demerara Sugar, 26
Dubonnet Rouge, 27
Lime juice, 28
Irish whiskey, 29
Apple brandy, 30
Carbonated water, 31
Cherry brandy, 32
Creme de Cacao, 33
Grenadine, 34
Port, 35
Coffee brandy, 36
Red wine, 37
Rum, 38
Grapefruit juice, 39
Ricard, 40
Sherry, 41
Cognac, 42
Sloe gin, 43
Apple juice, 44
Pineapple juice, 45
Lemon juice, 46
Sugar syrup, 47
Milk, 48
Strawberries, 49
Chocolate syrup, 50
Yoghurt, 51
Mango, 52
Ginger, 53
Lime, 54
Cantaloupe, 55
Berries, 56
Grapes, 57
Kiwi, 58
Tomato juice, 59
Cocoa powder, 60
Chocolate, 61
Heavy cream, 62
Galliano, 63
Peach Vodka, 64
Ouzo, 65
Coffee, 66
Spiced rum, 67
Water, 68
Espresso, 69
Angelica root, 70
Orange, 71
Cranberries, 72
Johnnie Walker, 73
Apple cider, 74
Everclear, 75
Cranberry juice, 76
Egg yolk, 77
Egg, 78
Grape juice, 79
Peach nectar, 80
Lemon, 81
Firewater, 82
Lemonade, 83
Lager, 84
Whiskey, 85
Absolut Citron, 86
Pisco, 87
Irish cream, 88
Ale, 89
Chocolate liqueur, 90
Midori melon liqueur, 91
Sambuca, 92
Cider, 93
Sprite, 94
7-Up, 95
Blackberry brandy, 96
Peppermint schnapps, 97
Creme de Cassis, 98
Jack Daniels, 99
Bailey's irish cream, 100
151 proof rum, 101
Absolut Vodka, 102
Goldschlager, 103
Crown Royal, 104
Cointreau, 105
Vermouth, 106
Advocaat, 107
Absolut Kurant, 108
Beer, 109
Kool-Aid, 110
Cherry Heering, 111
White Creme de Menthe, 112
Malibu rum, 113
Vanilla vodka, 114
Jägermeister, 115
Kiwi liqueur, 116
Grand Marnier, 117
Cachaca, 118
Peachtree schnapps, 119
Wild Turkey, 120
Cranberry vodka, 121
Corona, 122
Orange juice, 123
Yukon Jack, 124
Chocolate ice-cream, 125
Coconut rum, 126
Banana liqueur, 127
Black Sambuca, 128
Hot Damn, 129
Mint, 130
Campari, 131
Ice, 132
Sour mix, 133
Absinthe, 134
Whisky, 135
Guinness stout, 136
Vanilla ice-cream, 137
Chambord raspberry liqueur, 138
Jim Beam, 139
Godiva liqueur, 140
Fruit punch, 141
Baileys irish cream, 142
Zima, 143
Blue Curacao, 144
Coca-Cola, 145
Maui, 146
Frangelico, 147
Bacardi Limon, 148
Raspberry vodka, 149
Green Creme de Menthe, 150
Lemon peel, 151
Prosecco, 152
White Rum, 153
Mezcal, 154
Green Chartreuse, 155
Grape Soda, 156
Hot Chocolate, 157
Blended Scotch, 158
Rye whiskey, 159
